date,factor,rank_ic,number_of_stocks
2016-01-08,ret_1d,0.06265800105888403,97
2016-01-08,ret_5d,0.1522590995160951,97
2016-01-08,ret_20d,-0.007955501788344203,97
2016-01-08,ret_60d,-0.011216600042078686,97
2016-01-08,ret_120d,,0
2016-01-08,momentum_20_5,-0.12643330528087524,97
2016-01-08,overnight_gap,-0.024938278910424674,97
2016-01-08,intraday_return,0.0038133935586729,97
2016-01-08,ema20_distance,0.05012623606143487,97
2016-01-08,ema60_distance,0.006850936250788975,97
2016-01-08,ema20_60_spread,-0.013820218809173153,97
2016-01-08,rsi14_centered,-0.02627288028613507,97
2016-01-08,macd_hist_atr,-0.0017357458447296444,97
2016-01-08,breakout_position_60,-0.024037529052600207,97
2016-01-08,trend_r2_20,0.10681411739953711,97
2016-01-08,realized_vol_5,-0.11014096360193561,97
2016-01-08,realized_vol_20,-0.1305096780980433,97
2016-01-08,vol_ratio_5_20,-0.02686461182411109,97
2016-01-08,parkinson_vol_20,-0.11484851672627813,97
2016-01-08,overnight_vol_20,-0.06470913107511045,97
2016-01-08,downside_vol_20,-0.07985745844729643,97
2016-01-08,volume_zscore_20,-0.008260987520347261,96
2016-01-08,volume_trend_5_20,-0.1369529770671155,97
2016-01-08,amihud_illiq_20,-0.20309278350515464,96
2016-01-08,signed_volume_pressure_20,-0.07912108142225961,97
2016-01-08,volume_cv_20,-0.060409215232484735,97
2016-01-08,return_volume_corr_20,-0.20923765599565927,96
2016-01-08,close_location_value,0.12379023774458237,97
2016-01-08,body_range_ratio,0.027732575914624646,97
2016-01-08,gap_followthrough_20,-0.06031716810435514,97
2016-01-08,cs_rank_ret20,-0.007955501788344203,97
2016-01-08,cs_rank_ret60,-0.011216600042078686,97
2016-01-08,cs_rank_vol20,-0.1305096780980433,97
2016-01-08,cs_rank_amihud20,-0.20309278350515464,96
2016-01-08,return_autocorr_20,-0.09188933305280875,97
2016-01-08,revenue_growth_yoy,0.19934780471303978,45
2016-01-08,gross_margin_change_yoy,0.12552165643786234,42
2016-01-08,operating_profitability,0.027020561314641083,62
2016-01-08,cashflow_to_assets,0.23515894328572484,38
2016-01-08,debt_to_assets,-0.11139158151596379,48
2016-01-08,asset_growth_yoy,-0.04601795778377742,69
2016-01-15,ret_1d,0.10791868293709235,97
2016-01-15,ret_5d,0.0548863875447086,97
2016-01-15,ret_20d,0.1881180307174416,97
2016-01-15,ret_60d,0.17592836103513568,97
2016-01-15,ret_120d,,0
2016-01-15,momentum_20_5,0.23458868083315795,97
2016-01-15,overnight_gap,0.07375604881127708,97
2016-01-15,intraday_return,0.09099516095097833,97
2016-01-15,ema20_distance,0.15861035135703766,97
2016-01-15,ema60_distance,0.1812802440563854,97
2016-01-15,ema20_60_spread,0.1637518409425626,97
2016-01-15,rsi14_centered,0.2484351988217967,97
2016-01-15,macd_hist_atr,-0.03698979591836734,97
2016-01-15,breakout_position_60,0.25742951819903215,97
2016-01-15,trend_r2_20,-0.22516042499474015,97
2016-01-15,realized_vol_5,0.12252787713023354,97
2016-01-15,realized_vol_20,0.08017304860088365,97
2016-01-15,vol_ratio_5_20,0.0273379970544919,97
2016-01-15,parkinson_vol_20,0.013425731117189144,97
2016-01-15,overnight_vol_20,-0.06177677256469598,97
2016-01-15,downside_vol_20,0.00010519671786240267,97
2016-01-15,volume_zscore_20,-0.011516549104720563,96
2016-01-15,volume_trend_5_20,-0.020355564906374923,97
2016-01-15,amihud_illiq_20,0.031239826370048837,96
2016-01-15,signed_volume_pressure_20,0.2201504313065432,97
2016-01-15,volume_cv_20,0.05912055543867031,97
2016-01-15,return_volume_corr_20,0.1542457948996202,96
2016-01-15,close_location_value,0.22609404586576898,97
2016-01-15,body_range_ratio,0.0195797391121397,97
2016-01-15,gap_followthrough_20,0.25674573953292656,97
2016-01-15,cs_rank_ret20,0.1881180307174416,97
2016-01-15,cs_rank_ret60,0.17592836103513568,97
2016-01-15,cs_rank_vol20,0.08017304860088365,97
2016-01-15,cs_rank_amihud20,0.031239826370048837,96
2016-01-15,return_autocorr_20,0.12039764359351987,97
2016-01-15,revenue_growth_yoy,-0.1540235186447743,45
2016-01-15,gross_margin_change_yoy,0.07860297401208939,42
2016-01-15,operating_profitability,0.029992067591554084,62
2016-01-15,cashflow_to_assets,-0.03961262795227193,38
2016-01-15,debt_to_assets,-0.034633444935275294,48
2016-01-15,asset_growth_yoy,0.014669479992208521,69
2016-01-22,ret_1d,0.08878602987586787,97
2016-01-22,ret_5d,-0.1647380601725226,97
2016-01-22,ret_20d,-0.34799074268882807,97
2016-01-22,ret_60d,-0.2584683357879234,97
2016-01-22,ret_120d,,0
2016-01-22,momentum_20_5,-0.37330370292446874,97
2016-01-22,overnight_gap,0.09851672627814011,97
2016-01-22,intraday_return,0.06495897328003365,97
2016-01-22,ema20_distance,-0.2585735325057858,97
2016-01-22,ema60_distance,-0.3032689880075741,97
2016-01-22,ema20_60_spread,-0.291092467915001,97
2016-01-22,rsi14_centered,-0.2305386071954555,97
2016-01-22,macd_hist_atr,-0.0017883442036608454,97
2016-01-22,breakout_position_60,-0.2162318535661687,97
2016-01-22,trend_r2_20,0.23080159899011146,97
