factor_set_name,number_of_features,feature_list,mean_rank_ic,median_rank_ic,icir,positive_ic_ratio,top_bottom_spread,average_stocks
core_5,5,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value""]",0.022998482870979876,0.02075512716825792,0.18846782128976472,0.5961538461538461,0.0015679321238597464,99.51923076923077
core_plus_fundamental,6,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value"", ""cashflow_to_assets""]",0.02678276454394359,0.01908493597346899,0.21740897824957067,0.5641025641025641,0.002285271512054594,99.51923076923077
core_plus_horizon,6,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value"", ""return_volume_corr_20""]",0.02542361478244075,0.022751452195679672,0.21168727763111322,0.6089743589743589,0.0018377359211650607,99.51923076923077
extended,7,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value"", ""cashflow_to_assets"", ""return_volume_corr_20""]",0.029791414925854902,0.01579357935793579,0.239372692542125,0.5256410256410257,0.0019274151626665315,99.51923076923077
strong_only,3,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20""]",0.012999479486249741,0.012669343048393601,0.10875737158081226,0.5256410256410257,0.002168841497241526,99.4423076923077
moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",0.03142368872993437,0.04146445593614757,0.2181763430836876,0.6217948717948718,0.0020030116815127745,99.51923076923077
top_3,3,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20""]",0.012999479486249741,0.012669343048393601,0.10875737158081226,0.5256410256410257,0.002168841497241526,99.4423076923077
top_5,5,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d""]",0.029320780954698547,0.028650709897497843,0.24175431448728232,0.6025641025641025,0.0017795246722495017,99.51923076923077
top_8,8,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20""]",0.03179471789366316,0.037999632806209147,0.26195481065226717,0.6346153846153846,0.0031393874882674764,99.51923076923077
top_10,10,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return""]",0.029085071429715992,0.02827203974370653,0.23613168979895427,0.5897435897435898,0.001953636268010772,99.51923076923077
top_15,15,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20""]",0.031866194834301455,0.03311988341691312,0.22544127610773076,0.6153846153846154,0.0016072863447744391,99.51923076923077
all_eligible,31,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20"", ""volume_trend_5_20"", ""gap_followthrough_20"", ""downside_vol_20"", ""momentum_20_5"", ""trend_r2_20"", ""macd_hist_atr"", ""ret_20d"", ""realized_vol_20"", ""ema20_distance"", ""return_autocorr_20"", ""parkinson_vol_20""]",0.03358237903062362,0.03297910258047873,0.23745252251097987,0.6346153846153846,0.0026374398071732454,99.51923076923077
