date,factor,rank_ic,number_of_stocks
2016-01-08,ret_1d,0.06347327830246237,97
2016-01-08,ret_5d,0.1209893751314959,97
2016-01-08,ret_20d,0.019776982958131704,97
2016-01-08,ret_60d,0.11071954555017884,97
2016-01-08,ret_120d,,0
2016-01-08,momentum_20_5,-0.018751314958973277,97
2016-01-08,overnight_gap,-0.001347837378496456,97
2016-01-08,intraday_return,0.018639604722133916,97
2016-01-08,ema20_distance,0.050902061855670096,97
2016-01-08,ema60_distance,0.10019987376393856,97
2016-01-08,ema20_60_spread,0.14492162844519252,97
2016-01-08,rsi14_centered,-0.08284241531664212,97
2016-01-08,macd_hist_atr,-0.2126157163896486,97
2016-01-08,breakout_position_60,-0.040500869519698376,97
2016-01-08,trend_r2_20,-0.16701293919629703,97
2016-01-08,realized_vol_5,-0.3488323164317273,97
2016-01-08,realized_vol_20,-0.3468335787923416,97
2016-01-08,vol_ratio_5_20,-0.1735877340626972,97
2016-01-08,parkinson_vol_20,-0.3405875236692615,97
2016-01-08,overnight_vol_20,-0.23348411529560276,97
2016-01-08,downside_vol_20,-0.2742872922364822,97
2016-01-08,volume_zscore_20,0.19861638632664136,96
2016-01-08,volume_trend_5_20,0.09695192509993687,97
2016-01-08,amihud_illiq_20,-0.2628459034183397,96
2016-01-08,signed_volume_pressure_20,-0.011952977067115506,97
2016-01-08,volume_cv_20,-0.2121686303387334,97
2016-01-08,return_volume_corr_20,-0.11756646771568095,96
2016-01-08,close_location_value,-0.14622343782873973,97
2016-01-08,body_range_ratio,-0.05193447537923662,97
2016-01-08,gap_followthrough_20,-0.009612350094677046,97
2016-01-08,cs_rank_ret20,0.019776982958131704,97
2016-01-08,cs_rank_ret60,0.11071954555017884,97
2016-01-08,cs_rank_vol20,-0.3468335787923416,97
2016-01-08,cs_rank_amihud20,-0.2628459034183397,96
2016-01-08,return_autocorr_20,0.15425783715548075,97
2016-01-08,revenue_growth_yoy,0.02266214303413274,45
2016-01-08,gross_margin_change_yoy,0.09375633085771898,42
2016-01-08,operating_profitability,0.3106734994769125,62
2016-01-08,cashflow_to_assets,0.30201893134881364,38
2016-01-08,debt_to_assets,0.036587683207485185,48
2016-01-08,asset_growth_yoy,-0.19894226290803338,69
2016-01-15,ret_1d,0.10515726909320428,97
2016-01-15,ret_5d,0.0664974752787713,97
2016-01-15,ret_20d,0.0039185777403745,97
2016-01-15,ret_60d,0.08172470018935409,97
2016-01-15,ret_120d,,0
2016-01-15,momentum_20_5,0.03738428361035136,97
2016-01-15,overnight_gap,-0.01013833368398906,97
2016-01-15,intraday_return,0.09244161582158635,97
2016-01-15,ema20_distance,0.09351988217967598,97
2016-01-15,ema60_distance,0.11897748790237744,97
2016-01-15,ema20_60_spread,0.10221176099305702,97
2016-01-15,rsi14_centered,0.12235693246370712,97
2016-01-15,macd_hist_atr,-0.12318535661687355,97
2016-01-15,breakout_position_60,0.1097990742688828,97
2016-01-15,trend_r2_20,0.04661529560277719,97
2016-01-15,realized_vol_5,0.05823953292657268,97
2016-01-15,realized_vol_20,-0.050902061855670096,97
2016-01-15,vol_ratio_5_20,0.09962129181569533,97
2016-01-15,parkinson_vol_20,-0.07591258152745634,97
2016-01-15,overnight_vol_20,-0.017396907216494843,97
2016-01-15,downside_vol_20,-0.052124973700820525,97
2016-01-15,volume_zscore_20,0.09545577862181226,96
2016-01-15,volume_trend_5_20,0.0902324847464759,97
2016-01-15,amihud_illiq_20,0.039202387411828535,96
