factor_set_name,number_of_features,feature_list,sample_mode,objective,n_relevance_bins,param_id,hyperparameters,cv_mean_rank_ic,cv_median_rank_ic,cv_rank_ic_std,cv_positive_ic_ratio,cv_negative_ic_ratio,cv_icir,cv_annualized_icir,cv_ndcg5,cv_ndcg10,cv_ndcg20,cv_top5_return,cv_top10_return,cv_bottom5_return,cv_bottom10_return,cv_top5_bottom5_spread,cv_top10_bottom10_spread,cv_number_of_dates,cv_prediction_score_std,selected_final_config
moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",common_sample,rank:pairwise,10,1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.01302446634519461,0.013279327932793279,0.15946378634067881,0.5384615384615384,0.46153846153846156,0.08167664047164357,0.5889786304562963,0.5025718839218143,0.49902754309626746,0.525345758201168,0.00010515655378880749,-0.0005814905798893374,-0.00023739671927959505,-8.742959353338415e-05,0.0003425532730684025,-0.0004940609863559536,104,0.22280549028745064,True
top_15,15,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20""]",common_sample,rank:pairwise,5,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.011147893235411536,0.004614461446144614,0.14901245328294335,0.5096153846153846,0.49038461538461536,0.07481182270212026,0.5394757255268311,0.46111627433579716,0.47609957974426115,0.49394831571577413,-0.002659187699586178,-0.001871598291552567,-0.0005727675081663632,-0.0007907083553313408,-0.002086420191419815,-0.001080889936221226,104,0.2527509823154945,False
all_eligible,31,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20"", ""volume_trend_5_20"", ""gap_followthrough_20"", ""downside_vol_20"", ""momentum_20_5"", ""trend_r2_20"", ""macd_hist_atr"", ""ret_20d"", ""realized_vol_20"", ""ema20_distance"", ""return_autocorr_20"", ""parkinson_vol_20""]",common_sample,rank:pairwise,5,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.010021455543357476,-0.01644164416441644,0.16529845523566983,0.47115384615384615,0.5288461538461539,0.060626431923212196,0.43718341789513687,0.5149225701770346,0.5014219508356302,0.5027304784536629,-0.0002172618606345002,-0.0007178763625490965,-0.0007696086627322309,-0.0009603867460378104,0.00055234680209773,0.00024251038348871307,104,0.26095238614540833,False
strong_only,3,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20""]",common_sample,rank:ndcg,20,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.009382910209140453,0.020405162947639784,0.129934942808189,0.5288461538461539,0.47115384615384615,0.07221237033206362,0.5207308079100998,0.49120246085141067,0.5112339817186664,0.5305505423354239,-0.0011449625906632401,0.0007724795101550335,-0.0013312379417153258,-0.0011181142698794002,0.0001862753510520858,0.0018905937800344334,104,0.21486919803115037,False
top_3,3,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20""]",common_sample,rank:ndcg,20,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.009382910209140453,0.020405162947639784,0.129934942808189,0.5288461538461539,0.47115384615384615,0.07221237033206362,0.5207308079100998,0.49120246085141067,0.5112339817186664,0.5305505423354239,-0.0011449625906632401,0.0007724795101550335,-0.0013312379417153258,-0.0011181142698794002,0.0001862753510520858,0.0018905937800344334,104,0.21486919803115037,False
core_plus_fundamental,6,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value"", ""cashflow_to_assets""]",common_sample,rank:ndcg,20,1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.0020336809844035747,-0.020048004800480045,0.13867356189370494,0.49038461538461536,0.5096153846153846,0.014665239405636793,0.10575254528795698,0.5204379632452754,0.5147968443058348,0.5277778069646862,-0.00036580046394554713,-0.0005115155373294442,9.950729763706659e-05,0.0004290259933445111,-0.0004653077615826143,-0.0009405415306739551,104,0.41736396946586096,False
extended,7,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value"", ""cashflow_to_assets"", ""return_volume_corr_20""]",common_sample,rank:ndcg,20,1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.0006990078369614875,0.011983198319831983,0.13732772212024835,0.5096153846153846,0.49038461538461536,0.005090070862381412,0.03670502298012278,0.5374437271570497,0.5222662354349132,0.5346097362745474,0.002904659158124615,-0.00020653942956760555,0.0010994279697155189,0.0009379664444707986,0.001805231188409097,-0.0011445058740384042,104,0.4092546956470379,False
top_8,8,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20""]",common_sample,rank:ndcg,20,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0017345983480668884,0.0011941194119411938,0.13765647436764322,0.5096153846153846,0.49038461538461536,-0.012600920923154296,-0.09086653301299968,0.5273327922166291,0.5265136899418207,0.5332512476496677,0.0027204063533601535,0.0008313119557786929,0.0009046405693374254,0.0008053861365782892,0.0018157657840227283,2.592581920040392e-05,104,0.3246005607339052,False
core_5,5,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value""]",common_sample,rank:ndcg,20,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.00307992606538745,-0.014233423342334232,0.13255894213368277,0.47115384615384615,0.5288461538461539,-0.023234389289870858,-0.16754556387744143,0.5019842093218281,0.5035038812027444,0.5255374337950969,-0.0024134746786322603,-0.0020356587267485256,-0.0006594328609167941,-0.0002322825844004337,-0.0017540418177154659,-0.0018033761423480918,104,0.4473211235151841,False
top_10,10,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return""]",common_sample,rank:ndcg,20,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0033415555713489672,-0.014221525845286888,0.1446666993334176,0.4519230769230769,0.5480769230769231,-0.023098305185269938,-0.166564247443613,0.5093226664052111,0.516880315715831,0.5313165656140139,-0.0005854013220103908,-0.000591176505675698,-0.0005289192476986878,-0.0004295648953835837,-5.648207431170295e-05,-0.0001616116102921142,104,0.3673417210005797,False
