factor_set_name,number_of_features,feature_list,validation_mean_rank_ic,validation_median_rank_ic,validation_rank_ic_std,validation_positive_ic_ratio,validation_negative_ic_ratio,validation_icir,validation_annualized_icir,validation_ndcg5,validation_ndcg10,validation_ndcg20,validation_top5_return,validation_top10_return,validation_top5_bottom5_spread,validation_top10_bottom10_spread,validation_number_of_dates,oos_mean_rank_ic,oos_median_rank_ic,oos_rank_ic_std,oos_positive_ic_ratio,oos_negative_ic_ratio,oos_icir,oos_annualized_icir,oos_ndcg5,oos_ndcg10,oos_ndcg20,oos_top5_return,oos_top10_return,oos_top5_bottom5_spread,oos_top10_bottom10_spread,oos_number_of_dates,common_sample_n,native_coverage_n,yearly_rank_ic_std,worst_year_rank_ic,best_year_rank_ic
core_5,5,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20""]",-0.000493835246556521,-0.00048603499389345537,0.15824061530128047,0.5,0.5,-0.0031207869459827925,-0.02250431470707925,0.49447365893926964,0.48607937411585844,0.513665421271491,-0.0019023747820778392,-0.0013544305052817349,-0.0021014892387482653,-0.0013381309854051473,104,-0.02036668978887723,-0.0278908727600198,0.12507940445851048,0.4316546762589928,0.5683453237410072,-0.1628300828345643,-1.1741844256961407,0.4975685873540044,0.4879765839366673,0.509192415337242,0.00039495155418252766,-0.0002504926473553554,-0.00027696608947916715,-0.0007410912349839843,139,13900,13900,0.017184445547189703,-0.03873775504225745,-0.005127403187935165
core_plus_fundamental,6,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20"", ""gross_margin_change_yoy""]",-0.00014260362553926965,-0.0030543260990485454,0.14148400334700556,0.47115384615384615,0.5288461538461539,-0.0010079134189433282,-0.007268167026456774,0.5135002609949897,0.49670564086612445,0.5167659028490424,-0.00013877615511094637,-0.00041795151146968427,-2.124520916148574e-05,-0.000431000223163961,104,-0.02174859566837992,-0.025214824062110626,0.13541733950706747,0.4028776978417266,0.5971223021582733,-0.1606042161775365,-1.158133472967622,0.4962262926058295,0.48748800045253543,0.507503906194745,0.0003973111915674802,-0.0003949671441436965,-0.00020875248628956527,-0.0009872527023507746,139,13900,13900,0.012274391667460947,-0.03513909340381573,-0.012557493273088064
core_plus_horizon,6,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20"", ""ema20_distance""]",-0.0020468903038689044,-0.03063306330633063,0.1589334328935107,0.4423076923076923,0.5576923076923077,-0.012878915824088259,-0.09287118275226955,0.49793927917924835,0.49290253035856446,0.5165531856698367,-0.0018835964504802885,-0.0014189422039522458,-0.0020470220549562573,-0.0018236980034288812,104,-0.022615356669880265,-0.023354615718642207,0.127441670454461,0.4316546762589928,0.5683453237410072,-0.177456530420805,-1.2796572391962953,0.48182209923561314,0.4747614812806977,0.5007284232256631,0.0004330648642465067,-0.0009473659515237171,0.00021514162457149946,-0.0013876791139106,139,13900,13900,0.01252845480777859,-0.03621288080550063,-0.012347106002106282
extended,7,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20"", ""gross_margin_change_yoy"", ""ema20_distance""]",-0.0017203485151260378,-0.0019652738226501204,0.14889777390156406,0.5,0.5,-0.011553890095518526,-0.08331628634093514,0.4988048977908432,0.49851923317985747,0.5232930019211928,-0.0019004583640222473,-0.0009861976250620063,-0.0018539737932295832,-0.0012766216782637654,104,-0.024490073037467606,-0.02534653465346534,0.1340799504360533,0.4172661870503597,0.5827338129496403,-0.18265276022120583,-1.3171277851651737,0.4848474405811613,0.48252039052663936,0.5065632985876592,-0.0012962899480577603,-0.0007682048312175492,-0.0025159788239547936,-0.0014769777745086794,139,13900,13900,0.022229669635618173,-0.04819068825780444,-0.007637657734787059
strong_only,10,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d"", ""close_location_value"", ""intraday_return""]",0.000244937440075276,-0.019169348098610733,0.18231663163758022,0.4807692307692308,0.5192307692307693,0.0013434728245867176,0.009687920312479696,0.4862973479817168,0.4886040502351269,0.512872550374728,-0.0029153437402883115,-0.0017045176527146872,-0.0028190042074061543,-0.0017734361980266998,104,-0.03585054432652371,-0.0322374481927306,0.1450623551043519,0.4028776978417266,0.5971223021582733,-0.24713885487888504,-1.7821436268505473,0.47740602337883875,0.47947277030328506,0.500978317825191,-0.000984864492470509,-0.00104731163593693,-0.0010197485905348365,-0.0012080760055021538,139,13900,13900,0.017482520436757843,-0.054533113650013385,-0.022799290451650814
moderate_and_strong,19,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d"", ""close_location_value"", ""intraday_return"", ""momentum_20_5"", ""gross_margin_change_yoy"", ""vol_ratio_5_20"", ""ret_5d"", ""downside_vol_20"", ""overnight_vol_20"", ""revenue_growth_yoy"", ""ema60_distance"", ""gap_followthrough_20""]",-0.014266998979071606,-0.008725084759252336,0.19562680974136365,0.4807692307692308,0.5192307692307693,-0.07292967154110354,-0.5259033404883913,0.4865190980100973,0.479417113290672,0.508894037436451,-0.003085229573657418,-0.0020913696204740055,-0.002543841149063486,-0.0022978098738645992,104,-0.03505389975176781,-0.014689468946894688,0.16434253851353928,0.45323741007194246,0.5467625899280576,-0.21329778685924283,-1.5381122149279782,0.4728138184489332,0.46930327803986555,0.49511279952583837,-0.0009525272929043674,-0.0012598668100174098,-0.0015475178445012643,-0.0017575382161699902,139,13900,13900,0.022854743837930565,-0.058129612326647186,-0.013812383372548595
top_3,3,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance""]",-0.0017716088015534447,-0.013122669713182062,0.16314472896876644,0.4807692307692308,0.5192307692307693,-0.010859123753195936,-0.07830625499751381,0.48291860201305487,0.48370203752314933,0.5080418171321998,-0.0022950339754201536,-0.001563930298358974,-0.0017882402354421308,-0.0012768704259685823,104,-0.02712280612876649,-0.02373958470132986,0.12726913029510775,0.45323741007194246,0.5467625899280576,-0.21311378545508217,-1.536785361933061,0.47312030066873456,0.4763081918341752,0.49897229858942144,-0.0016254848453119274,-0.0007433796973105356,-0.001894907178208297,-0.0012225787052313134,139,13900,13900,0.005080976914013475,-0.031725632117909804,-0.021940429284098277
top_5,5,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio""]",-0.0031195251566373647,-0.012999487829756722,0.17065624611823926,0.4519230769230769,0.5480769230769231,-0.018279583827690668,-0.131815953569762,0.5045622291571846,0.49677526392382565,0.5107840375544186,-0.0011638699420196993,-0.0012292026258279006,-0.0016463006099105954,-0.0013946956649403294,104,-0.023162515536316465,-0.016526247580381397,0.13940547273018267,0.45323741007194246,0.5467625899280576,-0.16615212503993432,-1.1981400127175748,0.47552729238116226,0.4724536488521538,0.49898529707183065,-0.0008716500953476586,-0.0012149662117773915,-0.0015080816877391773,-0.002033856375718498,139,13900,13900,0.006932778550062768,-0.03037300731203047,-0.017252210081479695
top_8,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]",-0.0018147191586003304,-0.012758164035990081,0.1848044271998769,0.46153846153846156,0.5384615384615384,-0.009819673619818666,-0.07081067348915455,0.4847520919331017,0.48397334924531293,0.5089734345051001,-0.001677087201431036,-0.001773081865948586,-0.0017134512285967355,-0.001766629792388865,104,-0.028494440690577577,-0.021134303639952782,0.1453995578395697,0.4316546762589928,0.5683453237410072,-0.19597336548999442,-1.4131840357988397,0.48282849703834874,0.47752421215655577,0.5034298452356177,-0.00053564601294389,-0.0011741017984138733,-0.00041325169273324425,-0.000873766385059698,139,13900,13900,0.019959323267028182,-0.04944584173542897,-0.012086591482833638
top_10,10,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d"", ""close_location_value"", ""intraday_return""]",0.000244937440075276,-0.019169348098610733,0.18231663163758022,0.4807692307692308,0.5192307692307693,0.0013434728245867176,0.009687920312479696,0.4862973479817168,0.4886040502351269,0.512872550374728,-0.0029153437402883115,-0.0017045176527146872,-0.0028190042074061543,-0.0017734361980266998,104,-0.03585054432652371,-0.0322374481927306,0.1450623551043519,0.4028776978417266,0.5971223021582733,-0.24713885487888504,-1.7821436268505473,0.47740602337883875,0.47947277030328506,0.500978317825191,-0.000984864492470509,-0.00104731163593693,-0.0010197485905348365,-0.0012080760055021538,139,13900,13900,0.017482520436757843,-0.054533113650013385,-0.022799290451650814
