model_id,model_type,refit_date,factor_set_name,number_of_features,feature_list,objective,n_relevance_bins,hyperparameters,train_start,train_end,number_of_train_dates,number_of_train_rows,train_mean_rank_ic,train_median_rank_ic,train_rank_ic_std,train_positive_ic_ratio,train_negative_ic_ratio,train_icir,train_annualized_icir,train_ndcg5,train_ndcg10,train_ndcg20,train_top5_return,train_top10_return,train_bottom5_return,train_bottom10_return,train_top5_bottom5_spread,train_top10_bottom10_spread,train_number_of_dates,train_prediction_score_std,oos_mean_rank_ic,oos_median_rank_ic,oos_rank_ic_std,oos_positive_ic_ratio,oos_negative_ic_ratio,oos_icir,oos_annualized_icir,oos_ndcg5,oos_ndcg10,oos_ndcg20,oos_top5_return,oos_top10_return,oos_bottom5_return,oos_bottom10_return,oos_top5_bottom5_spread,oos_top10_bottom10_spread,oos_number_of_dates,oos_prediction_score_std,number_of_oos_dates,train_oos_rank_ic_gap,prediction_score_std
xgbranker_20190104,XGBRanker,2019-01-04,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-01-08,2018-12-21,155,15425,0.1935264084994438,0.1894989498949894,0.1557548337465968,0.896774193548387,0.1032258064516129,1.2425065973509295,8.959842493702132,0.891071259882421,0.8650668856873003,0.8253435200046542,0.0454947433856067,0.0387986430569894,-0.0026238397968618,-0.0021330475385599,0.0481185831824686,0.0409316905955494,155,0.1650198672086961,0.0863396339633963,0.0732433243324332,0.1253111072718312,0.75,0.25,0.6890022428427193,4.968465830958231,0.5994632208609634,0.5591205157083874,0.5721728632094361,0.0247103702585647,0.0211333643744753,0.0167382684064806,0.0198380436936439,0.0079721018520841,0.0012953206808314,4,0.1690783910453319,4,0.1071867745360474,0.1690783910453319
xgbranker_20190201,XGBRanker,2019-02-01,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-02-05,2019-01-18,155,15437,0.1982957578541752,0.1919711971197119,0.1579258604112443,0.9096774193548388,0.0903225806451612,1.2556256292529056,9.054445178116175,0.8905600278288169,0.8631211723572552,0.8229076912383189,0.0469289238888287,0.0392354657925007,-0.0029945491694788,-0.0023268752340121,0.0499234730583075,0.0415623410265128,155,0.1712070922697744,0.1138223822382238,0.1143354335433543,0.0244740447368915,1.0,0.0,4.6507385052970385,33.536952299246444,0.6298920627084401,0.5724219039235143,0.5915478259011969,0.0285711376082344,0.0151222352587847,0.0059955210309286,0.0078674099404912,0.0225756165773057,0.0072548253182934,4,0.170357845723629,4,0.0844733756159514,0.170357845723629
xgbranker_20190301,XGBRanker,2019-03-01,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-03-04,2019-02-15,155,15449,0.1946507921211336,0.1856945694569456,0.1581696864165159,0.896774193548387,0.1032258064516129,1.2306453691041042,8.874309960434308,0.8700612405108656,0.8483533456419764,0.8180783321691713,0.0437969242379257,0.0381570504614166,-0.0018863815754638,-0.0013556165796774,0.0456833058133896,0.039512667041094,155,0.162215425170237,-0.1173453345334533,-0.1179597959795979,0.1893093081315572,0.2,0.8,-0.6198603528354041,-4.469876571550499,0.4121054105523681,0.4181031486532022,0.4332082971738783,-0.0106530460700384,-0.0071576698941808,0.012244130642525,0.0082770057622413,-0.0228971767125634,-0.0154346756564221,5,0.162972217798233,5,0.311996126654587,0.162972217798233
xgbranker_20190405,XGBRanker,2019-04-05,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-04-08,2019-03-22,155,15464,0.209106447352528,0.2184218421842184,0.1411550901393987,0.9290322580645162,0.0709677419354838,1.4813950183873876,10.68249139602529,0.8913426788421288,0.8646887965481989,0.832090950406283,0.0472804741969374,0.0396634405779624,-0.0030453238149229,-0.0022567673176512,0.0503257980118603,0.0419202078956137,155,0.1609832957867653,0.0747914791479147,0.0367536753675367,0.1327334581558134,0.5,0.5,0.563471186444328,4.063248509943108,0.5758207091166998,0.5462390438097108,0.5659909013329671,0.0086228061708449,0.007717224569932,-0.0068523125375115,0.0017182668607909,0.0154751187083564,0.0059989577091411,4,0.1542913019657135,4,0.1343149682046132,0.1542913019657135
xgbranker_20190503,XGBRanker,2019-05-03,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-05-06,2019-04-18,155,15476,0.2291156479667877,0.2403480348034803,0.1297290108804535,0.967741935483871,0.032258064516129,1.7661095726531046,12.735597244577123,0.8732086017852893,0.8417709134283213,0.8128516776262233,0.0428870061363143,0.0348328388327988,-0.0034232085298217,-0.0033555998723089,0.046310214666136,0.0381884387051077,155,0.0925965978733954,0.0522412241224122,0.0265346534653465,0.1196773290368332,0.6,0.4,0.4365172964909161,3.1477709902498296,0.4849471347978051,0.462863486253651,0.4997231702211225,-0.0080300291848543,-0.006807567374317,0.0064899658460267,0.0082964225566489,-0.0145199950308811,-0.0151039899309659,5,0.0854789182543754,5,0.1768744238443755,0.0854789182543754
xgbranker_20190607,XGBRanker,2019-06-07,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-06-10,2019-05-24,155,15485,0.222509857676273,0.2368556855685568,0.1338373840847506,0.9483870967741936,0.0516129032258064,1.6625389026983053,11.98873852226475,0.8839411469176729,0.8515684740641905,0.8215721911881183,0.0462166543800592,0.0375531354307648,-0.0040393032659379,-0.002950368849928,0.0502559576459972,0.0405035042806928,155,0.1286120153723224,-0.047059705970597,0.0077407740774077,0.1284051858511632,0.75,0.25,-0.3664938114348808,-2.642824458537387,0.3689636602563719,0.4351340278791405,0.4692007317673842,-0.0254936554390942,-0.0110383054533859,-0.0046575760734299,-0.0029067737813726,-0.0208360793656643,-0.0081315316720133,4,0.1187428086996078,4,0.26956956364687,0.1187428086996078
xgbranker_20190705,XGBRanker,2019-07-05,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-07-08,2019-06-21,155,15489,0.2441691650249406,0.2436243624362436,0.1318876244939017,0.9612903225806452,0.0387096774193548,1.8513425043623453,13.3502206558487,0.8630363300712574,0.8342625039166959,0.8124690280086422,0.0413155583380568,0.0348282851572227,-0.0030829409805266,-0.0020962582471513,0.0443984993185834,0.036924543404374,155,0.099511951833002,0.0591089108910891,0.0465886588658865,0.0896554972394664,0.75,0.25,0.6592893097587922,4.754202823401172,0.435503546285685,0.4619583623366733,0.5155248971888851,-0.0010453886435898,-0.0018356379045091,-0.0078970159294319,-0.0050795531204302,0.0068516272858421,0.0032439152159211,4,0.0821704138070344,4,0.1850602541338515,0.0821704138070344
xgbranker_20190802,XGBRanker,2019-08-02,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-08-05,2019-07-19,155,15493,0.2443936525103312,0.252097209720972,0.1283383660757744,0.967741935483871,0.032258064516129,1.9042914444308467,13.732040892645603,0.8554268766428018,0.828552974556026,0.8053996185414432,0.0406559426251237,0.0338006527978668,-0.0030820745960958,-0.0039305789787514,0.0437380172212195,0.0377312317766183,155,0.0830847647882277,-0.0175409540954095,0.0187938793879387,0.1768685487560831,0.6,0.4,-0.0991750891765387,-0.7151617385494479,0.5089103165581043,0.5022272526641227,0.5047877892971891,0.0060434962454383,0.0028624219873625,0.0128110745362715,0.0065029693031504,-0.0067675782908331,-0.0036405473157878,5,0.072377723455429,5,0.2619346066057408,0.072377723455429
xgbranker_20190906,XGBRanker,2019-09-06,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-09-09,2019-08-23,155,15498,0.2357740668268167,0.2503930393039303,0.1239992506373339,0.967741935483871,0.032258064516129,1.901415255455015,13.711300398985031,0.8469973402855137,0.8231205937563246,0.8013378840912624,0.0396749498277741,0.0337829411520235,-0.0027835799973764,-0.0032852439820345,0.0424585298251505,0.037068185134058,155,0.0867326648004593,-0.0806060606060606,0.0152595259525952,0.220245124009252,0.5,0.5,-0.3659834058468168,-2.6391438714992903,0.3311508071181351,0.3918795820708763,0.437449750345032,-0.0480321706618342,-0.028143508096444,0.0119425637224189,0.0155709094739496,-0.0599747343842532,-0.0437144175703936,4,0.0759034873917698,4,0.3163801274328774,0.0759034873917698
xgbranker_20191004,XGBRanker,2019-10-04,moderate_and_strong,20,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20""]",rank:pairwise,10,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",2016-10-07,2019-09-20,155,15500,0.2513996108808347,0.2592739273927392,0.1344937559410546,0.967741935483871,0.032258064516129,1.8692288658442784,13.479201042757886,0.8520389299317874,0.8265343273433873,0.8107271683363656,0.0403696999997933,0.0350115890325416,-0.003204554336939,-0.0030887977094254,0.0435742543367323,0.038100386741967,155,0.0889885223200244,0.023099309930993,0.0316711671167116,0.0219430654834182,0.75,0.25,1.0526929315527316,7.591076684063754,0.5183398850004644,0.5533397766665047,0.5354826662413091,-0.0097783863847968,0.0018977927234248,0.0037598123346202,0.0009458903485105,-0.0135381987194171,0.0009519023749143,4,0.0864576138556003,4,0.2283003009498415,0.0864576138556003
