factor_set_name,number_of_features,feature_list,validation_mean_rank_ic,validation_median_rank_ic,validation_rank_ic_std,validation_positive_ic_ratio,validation_negative_ic_ratio,validation_icir,validation_annualized_icir,validation_ndcg5,validation_ndcg10,validation_ndcg20,validation_top5_return,validation_top10_return,validation_top5_bottom5_spread,validation_top10_bottom10_spread,validation_number_of_dates,oos_mean_rank_ic,oos_median_rank_ic,oos_rank_ic_std,oos_positive_ic_ratio,oos_negative_ic_ratio,oos_icir,oos_annualized_icir,oos_ndcg5,oos_ndcg10,oos_ndcg20,oos_top5_return,oos_top10_return,oos_top5_bottom5_spread,oos_top10_bottom10_spread,oos_number_of_dates,common_sample_n,native_coverage_n,yearly_rank_ic_std,worst_year_rank_ic,best_year_rank_ic
core_5,5,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20""]",-0.000493835246556521,-0.00048603499389345537,0.15824061530128047,0.5,0.5,-0.0031207869459827925,-0.02250431470707925,0.49447365893926964,0.48607937411585844,0.513665421271491,-0.0019023747820778392,-0.0013544305052817349,-0.0021014892387482653,-0.0013381309854051473,104,-0.021228606800287778,-0.028142856121984097,0.12512008824784338,0.427536231884058,0.572463768115942,-0.1696658553999516,-1.2234778826799686,0.49477692549276675,0.48622937584203896,0.5078606104861919,0.00025783835569310586,-0.00029170331075101697,-0.0004405422298259109,-0.0008160748807290539,138,13800,13800,0.016885950507877435,-0.03873775504225745,-0.005127403187935165
core_plus_fundamental,6,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20"", ""gross_margin_change_yoy""]",-0.00014260362553926965,-0.0030543260990485454,0.14148400334700556,0.47115384615384615,0.5288461538461539,-0.0010079134189433282,-0.007268167026456774,0.5135002609949897,0.49670564086612445,0.5167659028490424,-0.00013877615511094637,-0.00041795151146968427,-2.124520916148574e-05,-0.000431000223163961,104,-0.023320074706202638,-0.025220824734186333,0.13463259731003507,0.39855072463768115,0.6014492753623188,-0.17321269270695736,-1.2490544902322442,0.49467767952613656,0.48631779277056303,0.5063054911017386,0.0003922272313173202,-0.00040606536817091736,-0.00013767445513746644,-0.0010079627106269347,138,13800,13800,0.011358447718377657,-0.03513909340381573,-0.012557493273088064
core_plus_horizon,6,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20"", ""ema20_distance""]",-0.0020468903038689044,-0.03063306330633063,0.1589334328935107,0.4423076923076923,0.5576923076923077,-0.012878915824088259,-0.09287118275226955,0.49793927917924835,0.49290253035856446,0.5165531856698367,-0.0018835964504802885,-0.0014189422039522458,-0.0020470220549562573,-0.0018236980034288812,104,-0.02357488084790831,-0.02365450557909308,0.12740102044786844,0.427536231884058,0.572463768115942,-0.18504467833171695,-1.3343761519534914,0.4797435029404204,0.47261919543100395,0.49942455802234315,0.0003424288262380758,-0.0010318293647558093,0.00011997257914818753,-0.0015676072576598524,138,13800,13800,0.012046742766616506,-0.03621288080550063,-0.012347106002106282
extended,7,"[""macd_hist_atr"", ""ret_20d"", ""body_range_ratio"", ""signed_volume_pressure_20"", ""vol_ratio_5_20"", ""gross_margin_change_yoy"", ""ema20_distance""]",-0.0017203485151260378,-0.0019652738226501204,0.14889777390156406,0.5,0.5,-0.011553890095518526,-0.08331628634093514,0.4988048977908432,0.49851923317985747,0.5232930019211928,-0.0019004583640222473,-0.0009861976250620063,-0.0018539737932295832,-0.0012766216782637654,104,-0.025701031988653766,-0.026108772104235217,0.13380334382741466,0.41304347826086957,0.5869565217391305,-0.19208064053917867,-1.3851131969759514,0.4818409852717232,0.4809040437589456,0.5053527381097387,-0.0014479383633898488,-0.0008015047614938816,-0.0026091064906273954,-0.0015078146190491315,138,13800,13800,0.020840034659419922,-0.04819068825780444,-0.01205706714540499
strong_only,10,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d"", ""close_location_value"", ""intraday_return""]",0.000244937440075276,-0.019169348098610733,0.18231663163758022,0.4807692307692308,0.5192307692307693,0.0013434728245867176,0.009687920312479696,0.4862973479817168,0.4886040502351269,0.512872550374728,-0.0029153437402883115,-0.0017045176527146872,-0.0028190042074061543,-0.0017734361980266998,104,-0.036924238357318756,-0.034582958272772496,0.1450354252281955,0.39855072463768115,0.6014492753623188,-0.2545877208911063,-1.8358581635527969,0.4757977409241789,0.47838966052525544,0.5001238668492803,-0.0010810911055637552,-0.001087583803434631,-0.0011579588980846105,-0.0013265008023952037,138,13800,13800,0.016269247881374852,-0.054533113650013385,-0.025952472803429265
moderate_and_strong,19,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d"", ""close_location_value"", ""intraday_return"", ""momentum_20_5"", ""gross_margin_change_yoy"", ""vol_ratio_5_20"", ""ret_5d"", ""downside_vol_20"", ""overnight_vol_20"", ""revenue_growth_yoy"", ""ema60_distance"", ""gap_followthrough_20""]",-0.014266998979071606,-0.008725084759252336,0.19562680974136365,0.4807692307692308,0.5192307692307693,-0.07292967154110354,-0.5259033404883913,0.4865190980100973,0.479417113290672,0.508894037436451,-0.003085229573657418,-0.0020913696204740055,-0.002543841149063486,-0.0022978098738645992,104,-0.035455580458692064,-0.016459673312188755,0.16487274211199088,0.4492753623188406,0.5507246376811594,-0.21504816384147132,-1.5507343628496117,0.4727109024090663,0.4692285668412291,0.49493479697713527,-0.001005133440684474,-0.001261152076245045,-0.0016333351942737434,-0.0017924165754954426,138,13800,13800,0.022442006509633516,-0.058129612326647186,-0.014817983995381801
top_3,3,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance""]",-0.0017716088015534447,-0.013122669713182062,0.16314472896876644,0.4807692307692308,0.5192307692307693,-0.010859123753195936,-0.07830625499751381,0.48291860201305487,0.48370203752314933,0.5080418171321998,-0.0022950339754201536,-0.001563930298358974,-0.0017882402354421308,-0.0012768704259685823,104,-0.02825844986475034,-0.024573367596053594,0.12702395832446978,0.4492753623188406,0.5507246376811594,-0.22246551152631383,-1.6042216176608992,0.4710902717173948,0.4745064846976601,0.49760487853469504,-0.0017376959778990226,-0.0007942077309237723,-0.002026679631310517,-0.0012819251384686174,138,13800,13800,0.0072649788604988615,-0.036470386869524925,-0.021940429284098277
top_5,5,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio""]",-0.0031195251566373647,-0.012999487829756722,0.17065624611823926,0.4519230769230769,0.5480769230769231,-0.018279583827690668,-0.131815953569762,0.5045622291571846,0.49677526392382565,0.5107840375544186,-0.0011638699420196993,-0.0012292026258279006,-0.0016463006099105954,-0.0013946956649403294,104,-0.02443195054767522,-0.019120946025933575,0.13910467407163785,0.4492753623188406,0.5507246376811594,-0.17563716467998014,-1.266537606261562,0.4737309968933268,0.4711001902258977,0.49777878518736224,-0.000945612224756643,-0.001239780964162893,-0.0015556660768659477,-0.00212368851697791,138,13800,13800,0.005486997224302104,-0.03037300731203047,-0.019930113970588734
top_8,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]",-0.0018147191586003304,-0.012758164035990081,0.1848044271998769,0.46153846153846156,0.5384615384615384,-0.009819673619818666,-0.07081067348915455,0.4847520919331017,0.48397334924531293,0.5089734345051001,-0.001677087201431036,-0.001773081865948586,-0.0017134512285967355,-0.001766629792388865,104,-0.029288982715098503,-0.02129341751952203,0.14562607842643074,0.427536231884058,0.572463768115942,-0.201124572134208,-1.4503299151712856,0.4812216467554662,0.4761152070179222,0.5025401888581514,-0.000628617419663755,-0.0012379197918005454,-0.0004989474720217064,-0.0009880759573627444,138,13800,13800,0.018994449783008155,-0.04944584173542897,-0.014828913546837881
top_10,10,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d"", ""close_location_value"", ""intraday_return""]",0.000244937440075276,-0.019169348098610733,0.18231663163758022,0.4807692307692308,0.5192307692307693,0.0013434728245867176,0.009687920312479696,0.4862973479817168,0.4886040502351269,0.512872550374728,-0.0029153437402883115,-0.0017045176527146872,-0.0028190042074061543,-0.0017734361980266998,104,-0.036924238357318756,-0.034582958272772496,0.1450354252281955,0.39855072463768115,0.6014492753623188,-0.2545877208911063,-1.8358581635527969,0.4757977409241789,0.47838966052525544,0.5001238668492803,-0.0010810911055637552,-0.001087583803434631,-0.0011579588980846105,-0.0013265008023952037,138,13800,13800,0.016269247881374852,-0.054533113650013385,-0.025952472803429265
